FASTA ID,Accession ID,Sample ID,Year,Country,Clade Designation,Native/Invasive,Latitude,Longitude,County/State,City/Town,Haplotype,Urban/Rural Habitat,Breeding habitat,Type of Collection
AlGeradif-57_Sudan,OK216685,AlGeradif-57,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-58_Sudan,OK216684,AlGeradif-58,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-59_Sudan,OK216683,AlGeradif-59,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-6_Sudan,OK216682,AlGeradif-6,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-60_Sudan,OK216681,AlGeradif-60,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-61_Sudan,OK216680,AlGeradif-61,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-62_Sudan,OK216679,AlGeradif-62,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-63_Sudan,OK216678,AlGeradif-63,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-64_Sudan,OK216677,AlGeradif-64,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-65_Sudan,OK216676,AlGeradif-65,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-66_Sudan,OK216675,AlGeradif-66,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-67_Sudan,OK216674,AlGeradif-67,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
AlGeradif-68_Sudan,OK216673,AlGeradif-68,2021,Sudan,NA,Invasive,NA,NA,Al Geradif,NA,NA,NA,NA,NA
